u,e,k,min,threshold,value,Topic Recall,Class Entropy,Cluster Entropy,Total Entropy,Mean_Newsworthiness,NumberOfEvents
1,2,3,1,3,1,0.4192,1.0430,1.1108,1.0769,0.1432,1058
1,2,3,1,3,2,0.4165,1.1837,0.9742,1.0790,0.1534,1060
1,2,3,1,3,3,0.4098,1.1354,1.0830,1.1092,0.1751,1061
1,2,3,1,3,4,0.4275,1.1596,0.9255,1.0425,0.1777,1060
1,2,3,1,3,5,0.4004,1.1669,1.0360,1.1014,0.1585,1058
1,2,3,1,3,10,0.4159,0.8814,1.2536,1.0675,0.1386,1035
1,2,3,1,4,1,0.4177,1.1859,0.9230,1.0544,0.1496,1063
1,2,3,1,4,2,0.4229,1.0318,1.0817,1.0567,0.1686,1065
1,2,3,1,4,3,0.4186,1.2510,0.9017,1.0763,0.1463,1065
1,2,3,1,4,4,0.4251,1.2674,0.8877,1.0775,0.1542,1065
1,2,3,1,4,5,0.4204,1.0662,1.1266,1.0964,0.1797,1063
1,2,3,1,4,10,0.4028,1.2452,0.9410,1.0931,0.1372,1039
1,2,3,1,5,1,0.4315,0.9472,1.1619,1.0545,0.1475,1067
1,2,3,1,5,2,0.4187,1.0905,1.0213,1.0559,0.1871,1068
1,2,3,1,5,3,0.4254,0.9492,1.1466,1.0479,0.1862,1069
1,2,3,1,5,4,0.4086,1.1912,0.9818,1.0865,0.1483,1068
1,2,3,1,5,5,0.4272,0.8644,1.2550,1.0597,0.1632,1067
1,2,3,1,5,10,0.3934,1.2226,0.9582,1.0904,0.1418,1042
1,2,3,1,6,1,0.4278,0.9233,1.1569,1.0401,0.1870,1069
1,2,3,1,6,2,0.4115,1.2436,0.9134,1.0785,0.1833,1070
1,2,3,1,6,3,0.4294,0.9609,1.1949,1.0779,0.1713,1071
1,2,3,1,6,4,0.4237,0.9703,1.1489,1.0596,0.1426,1070
1,2,3,1,6,5,0.4177,0.9206,1.2347,1.0776,0.1481,1069
1,2,3,1,6,10,0.4032,1.0089,1.1673,1.0881,0.1429,1044
1,2,3,1,7,1,0.4166,1.0159,1.0977,1.0568,0.1432,1069
1,2,3,1,7,2,0.4294,1.2453,0.9181,1.0817,0.1750,1071
1,2,3,1,7,3,0.4268,1.1541,1.0028,1.0784,0.1702,1072
1,2,3,1,7,4,0.4257,1.2161,0.8769,1.0465,0.1517,1071
1,2,3,1,7,5,0.4281,1.0236,1.1021,1.0629,0.1718,1069
1,2,3,1,7,10,0.4072,0.9703,1.2220,1.0961,0.1682,1045
1,2,3,1,10,1,0.4090,0.8980,1.2979,1.0979,0.1449,1063
1,2,3,1,10,2,0.4370,0.9288,1.1513,1.0400,0.1940,1065
1,2,3,1,10,3,0.4109,0.9473,1.2440,1.0957,0.1538,1065
1,2,3,1,10,4,0.4349,0.8829,1.2239,1.0534,0.1781,1065
1,2,3,1,10,5,0.4292,1.1807,0.9516,1.0662,0.1635,1063
1,2,3,1,10,10,0.4066,1.1262,1.0428,1.0845,0.1745,1039
1,2,3,1,15,1,0.3961,1.2081,0.9622,1.0851,0.1582,1027
1,2,3,1,15,2,0.3872,1.1218,1.0768,1.0993,0.1686,1029
1,2,3,1,15,3,0.4038,1.2601,0.9283,1.0942,0.1412,1029
1,2,3,1,15,4,0.3990,1.1842,0.9870,1.0856,0.1509,1029
1,2,3,1,15,5,0.3946,1.2120,0.9433,1.0776,0.1729,1027
1,2,3,1,15,10,0.3627,1.0503,1.1803,1.1153,0.1438,1005
1,2,3,2,3,1,0.4432,0.8563,1.2382,1.0472,0.1845,1071
1,2,3,2,3,2,0.4311,1.1053,1.0641,1.0847,0.1915,1073
1,2,3,2,3,3,0.4413,1.0878,0.9707,1.0292,0.1838,1073
1,2,3,2,3,4,0.4340,1.1840,0.9425,1.0632,0.1548,1073
1,2,3,2,3,5,0.4234,1.1214,0.9899,1.0557,0.1809,1071
1,2,3,2,3,10,0.4078,1.0104,1.1486,1.0795,0.1701,1046
1,2,3,2,4,1,0.4254,1.1003,0.9885,1.0444,0.1884,1076
1,2,3,2,4,2,0.4400,0.8921,1.2090,1.0506,0.1639,1078
1,2,3,2,4,3,0.4326,1.0975,1.0144,1.0559,0.1830,1078
