u,e,k,min,threshold,value,Topic Recall,Class Entropy,Cluster Entropy,Total Entropy,Mean_Newsworthiness,NumberOfEvents
1,2,3,1,3,1,0.3134,1.9709,0.7626,1.3667,0.1000,986
1,2,3,1,3,2,0.3090,1.9817,0.7905,1.3861,0.1000,989
1,2,3,1,3,3,0.3064,2.0602,0.8393,1.4497,0.1205,991
1,2,3,1,3,4,0.3218,1.8847,0.6855,1.2851,0.1192,993
1,2,3,1,3,5,0.3001,1.9903,0.7714,1.3809,0.1066,993
1,2,3,1,3,10,0.3228,1.9017,0.7049,1.3033,0.1000,982
1,2,3,1,4,1,0.3110,1.8891,0.6788,1.2840,0.1000,989
1,2,3,1,4,2,0.3133,1.8996,0.7243,1.3120,0.1091,992
1,2,3,1,4,3,0.3129,1.9812,0.7894,1.3853,0.1000,994
1,2,3,1,4,4,0.3187,2.0161,0.8304,1.4233,0.1000,995
1,2,3,1,4,5,0.3164,2.0422,0.8781,1.4601,0.1231,996
1,2,3,1,4,10,0.3101,1.9811,0.7562,1.3686,0.1000,985
1,2,3,1,5,1,0.3204,1.9176,0.7467,1.3322,0.1000,990
1,2,3,1,5,2,0.3106,1.8792,0.6753,1.2773,0.1289,994
1,2,3,1,5,3,0.3151,1.8593,0.7140,1.2866,0.1259,996
1,2,3,1,5,4,0.3033,1.9610,0.7596,1.3603,0.1000,997
1,2,3,1,5,5,0.3194,1.9008,0.7666,1.3337,0.1038,998
1,2,3,1,5,10,0.3008,1.9208,0.7186,1.3197,0.1000,986
1,2,3,1,6,1,0.3144,1.8376,0.6629,1.2502,0.1248,991
1,2,3,1,6,2,0.3025,1.9491,0.7579,1.3535,0.1258,994
1,2,3,1,6,3,0.3183,1.9908,0.8509,1.4208,0.1099,996
1,2,3,1,6,4,0.3160,1.8934,0.7318,1.3126,0.1000,998
1,2,3,1,6,5,0.3105,1.9289,0.8123,1.3706,0.1000,998
1,2,3,1,6,10,0.3074,1.9242,0.7626,1.3434,0.1000,987
1,2,3,1,7,1,0.3051,1.8589,0.6737,1.2663,0.1000,990
1,2,3,1,7,2,0.3164,2.0396,0.8526,1.4461,0.1128,994
1,2,3,1,7,3,0.3179,2.0013,0.8487,1.4250,0.1102,996
1,2,3,1,7,4,0.3143,1.8790,0.6907,1.2848,0.1000,997
1,2,3,1,7,5,0.3224,1.9285,0.7629,1.3457,0.1132,998
1,2,3,1,7,10,0.3089,1.9651,0.8058,1.3855,0.1163,986
1,2,3,1,10,1,0.3000,1.9644,0.8418,1.4031,0.1000,982
1,2,3,1,10,2,0.3231,1.8691,0.7144,1.2918,0.1301,985
1,2,3,1,10,3,0.3011,1.9652,0.8427,1.4039,0.1000,987
