u,e,k,min,threshold,value,Topic Recall,Class Entropy,Cluster Entropy,Total Entropy,Mean_Newsworthiness,NumberOfEvents
1,2,10,8,6,3,0.6000,0.6960,0.8949,0.8113,0.6599,80
1,3,10,8,6,3,0.6000,0.6731,0.8751,0.7902,0.6670,80
1,5,10,8,6,3,0.6000,0.6596,0.8604,0.7761,0.6730,80
1,10,10,4,5,5,0.6000,0.7514,0.9933,0.8917,0.6082,80
1,10,10,4,5,10,0.6000,0.7854,0.9960,0.9075,0.5750,82
1,10,10,4,10,5,0.6000,0.7769,1.0009,0.9068,0.6023,116
1,10,10,4,10,10,0.6000,0.8267,0.9972,0.9256,0.5957,166
1,10,10,4,15,5,0.6000,0.8399,1.0843,0.9817,0.5646,211
1,10,10,4,15,10,0.6000,0.9641,1.0442,1.0106,0.5610,284
1,10,10,6,5,5,0.6000,0.7608,0.9429,0.8664,0.5910,80
1,10,10,6,5,10,0.6000,0.7848,0.9365,0.8728,0.5822,80
1,10,10,6,10,5,0.6000,0.7671,0.9314,0.8624,0.6137,128
1,10,10,6,10,10,0.6000,0.8234,0.9449,0.8939,0.5699,171
1,10,10,6,15,5,0.6000,0.8189,1.0505,0.9532,0.5711,211
1,10,10,6,15,10,0.6000,0.9294,1.0115,0.9770,0.5913,288
1,10,15,4,5,5,0.6000,0.8906,1.0433,0.9792,0.5669,80
1,10,15,4,5,10,0.6000,0.8906,1.0578,0.9876,0.5280,80
1,10,15,4,10,5,0.6000,0.8949,0.9887,0.9493,0.6014,110
1,10,15,4,10,10,0.6000,0.9478,1.0233,0.9916,0.5636,170
1,10,15,4,15,5,0.6000,0.9672,1.0715,1.0277,0.5451,194
1,10,15,4,15,10,0.6000,1.1076,1.0212,1.0575,0.5529,264
1,10,15,6,5,5,0.6000,0.8644,1.0032,0.9449,0.6114,80
1,10,15,6,5,10,0.6000,0.8807,1.0203,0.9617,0.5470,80
1,10,15,6,10,5,0.6000,0.8851,0.9490,0.9222,0.6133,111
1,10,15,6,10,10,0.6000,0.9341,0.9668,0.9530,0.5687,141
1,10,15,6,15,5,0.6000,0.9734,1.0068,0.9927,0.5411,193
1,10,15,6,15,10,0.6000,1.0894,0.9894,1.0314,0.5597,268
1,10,20,4,5,5,0.6000,1.0739,1.1247,1.1034,0.5142,80
1,10,20,4,5,10,0.6000,1.0858,1.1041,1.0964,0.5119,80
1,10,20,4,10,5,0.6000,1.1171,1.0586,1.0832,0.5635,122
1,10,20,4,10,10,0.6000,1.1855,1.0765,1.1223,0.5338,136
1,10,20,4,15,5,0.6000,1.1559,1.0377,1.0874,0.5761,196
1,10,20,4,15,10,0.6000,1.3162,1.0619,1.1687,0.5569,247
1,10,20,6,5,5,0.6000,1.0759,1.0920,1.0852,0.5495,80
1,10,20,6,5,10,0.6000,1.0768,1.0741,1.0753,0.5151,80
1,10,20,6,10,5,0.6000,1.0920,1.0314,1.0569,0.5382,98
1,10,20,6,10,10,0.6000,1.1467,1.0681,1.1011,0.5238,160
1,10,20,6,15,5,0.6000,1.1444,1.0401,1.0839,0.5509,185
1,10,20,6,15,10,0.6000,1.2937,1.0151,1.1321,0.4985,254
1,20,10,4,5,5,0.6000,1.1382,1.0664,1.0966,0.5977,80
1,20,10,4,5,10,0.6000,1.1180,1.0898,1.1016,0.5874,101
1,20,10,4,10,5,0.6000,1.1469,1.1009,1.1203,0.6089,159
1,20,10,4,10,10,0.6000,1.2336,1.0654,1.1360,0.5868,223
1,20,10,4,15,5,0.6000,1.2446,1.1482,1.1887,0.6034,258
1,20,10,4,15,10,0.6000,1.3472,1.1011,1.2045,0.5854,368
1,20,10,6,5,5,0.6000,1.1418,1.0608,1.0948,0.6008,80
1,20,10,6,5,10,0.6000,1.1160,1.0578,1.0823,0.6178,86
1,20,10,6,10,5,0.6000,1.1472,1.0520,1.0919,0.6032,147
1,20,10,6,10,10,0.6000,1.1990,1.0470,1.1109,0.5881,218
1,20,10,6,15,5,0.6000,1.2112,1.1165,1.1563,0.5885,258
1,20,10,6,15,10,0.6000,1.3490,1.0747,1.1899,0.6094,365
1,20,15,4,5,5,0.6000,1.2704,1.0846,1.1626,0.5705,80
1,20,15,4,5,10,0.6000,1.2794,1.1063,1.1790,0.5815,81
1,20,15,4,10,5,0.6000,1.3306,1.0601,1.1737,0.5716,135
1,20,15,4,10,10,0.6000,1.3922,1.0256,1.1796,0.5526,200
1,20,15,4,15,5,0.6000,1.3744,1.0559,1.1897,0.5982,242
1,20,15,4,15,10,0.6000,1.5018,0.9814,1.2000,0.5630,335
1,20,15,6,5,5,0.6000,1.2529,1.0744,1.1494,0.5998,80
1,20,15,6,5,10,0.6000,1.2469,1.0702,1.1444,0.5720,98
1,20,15,6,10,5,0.6000,1.2819,1.0125,1.1256,0.5831,159
1,20,15,6,10,10,0.6000,1.3666,1.0101,1.1598,0.5486,213
1,20,15,6,15,5,0.6000,1.3460,1.0192,1.1565,0.5801,239
1,20,15,6,15,10,0.6000,1.5119,0.9675,1.1961,0.5382,349
1,20,20,4,5,5,0.6000,1.5101,1.2024,1.3316,0.5366,80
1,20,20,4,5,10,0.6000,1.4620,1.2226,1.3232,0.5195,88
1,20,20,4,10,5,0.6000,1.5112,1.1326,1.2916,0.5269,142
1,20,20,4,10,10,0.6000,1.5914,1.1726,1.3485,0.5291,186
1,20,20,4,15,5,0.6000,1.6041,1.1110,1.3181,0.5644,214
1,20,20,4,15,10,0.6000,1.7426,1.1011,1.3705,0.5049,322
1,20,20,6,5,5,0.6000,1.4900,1.1539,1.2951,0.5487,80
1,20,20,6,5,10,0.6000,1.4558,1.1834,1.2978,0.5497,87
1,20,20,6,10,5,0.6000,1.4993,1.1041,1.2700,0.5510,131
1,20,20,6,10,10,0.6000,1.5758,1.1129,1.3073,0.5196,202
1,20,20,6,15,5,0.6000,1.5817,1.0746,1.2876,0.5761,224
1,20,20,6,15,10,0.6000,1.7623,1.0298,1.3375,0.5584,332
2,2,10,8,6,3,0.6000,0.6584,0.7360,0.7022,0.6608,80
2,3,10,8,6,3,0.6000,0.6274,0.7731,0.7097,0.6877,80
2,5,10,8,6,3,0.6000,0.5764,0.7452,0.6718,0.6606,80
2,10,10,8,6,3,0.6000,0.7277,0.7962,0.7664,0.6403,80
2,20,10,8,6,3,0.6000,1.0911,0.9620,1.0182,0.6374,80
3,2,10,4,5,5,0.6000,0.6289,0.8380,0.7439,0.6814,80
3,2,10,4,5,10,0.6000,0.6549,0.8797,0.7786,0.6846,80
3,2,10,4,10,5,0.6000,0.6592,0.8841,0.7829,0.7013,80
3,2,10,4,10,10,0.6000,0.7112,0.9036,0.8170,0.6591,98
3,2,10,4,15,5,0.6000,0.7474,0.9681,0.8688,0.6690,112
3,2,10,4,15,10,0.6000,0.8533,0.9970,0.9324,0.6454,146
3,2,10,8,5,5,0.6000,0.6180,0.7650,0.6988,0.6731,80
3,2,10,8,5,10,0.6000,0.6595,0.8027,0.7383,0.6840,80
3,2,10,8,10,5,0.6000,0.6393,0.8068,0.7315,0.6444,80
3,2,10,8,10,10,0.6000,0.6878,0.8499,0.7770,0.6469,90
3,2,10,8,15,5,0.6000,0.6988,0.9201,0.8205,0.6492,116
3,2,10,8,15,10,0.6000,0.8410,0.9066,0.8771,0.6323,158
3,3,10,4,5,5,0.6000,0.6296,0.8361,0.7431,0.6630,80
3,3,10,4,5,10,0.6000,0.6334,0.8941,0.7768,0.6357,80
3,3,10,4,10,5,0.6000,0.6264,0.8570,0.7532,0.6586,91
3,3,10,4,10,10,0.6000,0.7171,0.8934,0.8141,0.6486,112
3,3,10,4,15,5,0.6000,0.7198,0.9543,0.8488,0.6444,121
3,3,10,4,15,10,0.6000,0.8007,1.0014,0.9111,0.6468,196
3,3,10,8,5,5,0.6000,0.6106,0.7651,0.6956,0.6649,80
3,3,10,8,5,10,0.6000,0.6069,0.8394,0.7348,0.6746,80
3,3,10,8,10,5,0.6000,0.5882,0.7861,0.6970,0.7023,90
3,3,10,8,10,10,0.6000,0.6709,0.8489,0.7688,0.6808,101
3,3,10,8,15,5,0.6000,0.6836,0.8774,0.7902,0.6772,137
3,3,10,8,15,10,0.6000,0.8040,0.9187,0.8671,0.6786,198
3,5,10,4,5,5,0.6000,0.5952,0.8576,0.7395,0.6476,80
3,5,10,4,5,10,0.6000,0.6240,0.8868,0.7685,0.6457,80
3,5,10,4,10,5,0.6000,0.6246,0.8713,0.7603,0.6419,94
3,5,10,4,10,10,0.6000,0.6916,0.8880,0.7996,0.6566,143
3,5,10,4,15,5,0.6000,0.6997,0.9865,0.8574,0.6676,184
3,5,10,4,15,10,0.6000,0.8017,0.9574,0.8873,0.6688,247
3,5,10,8,5,5,0.6000,0.5790,0.7462,0.6710,0.6537,80
3,5,10,8,5,10,0.6000,0.6085,0.8320,0.7314,0.6499,80
3,5,10,8,10,5,0.6000,0.5906,0.7801,0.6948,0.6724,80
3,5,10,8,10,10,0.6000,0.6641,0.8125,0.7458,0.6524,153
3,5,10,8,15,5,0.6000,0.6552,0.9100,0.7953,0.6199,173
