u,e,k,min,threshold,value,Topic Recall,Total Entropy
1,2,3,1,3,1,0.3134,0.6168
1,2,3,1,5,10,0.3008,0.6243
1,2,3,2,3,3,0.3296,0.6265
1,2,3,2,3,4,0.3260,0.6442
1,2,3,3,7,5,0.3292,0.7078
1,2,3,3,10,4,0.3224,0.7156
1,2,4,1,5,5,0.3331,0.6971
1,2,4,1,7,4,0.3377,0.7287
1,2,4,2,3,2,0.3270,0.6805
1,2,4,2,10,2,0.3255,0.7234
1,2,4,2,10,3,0.3226,0.7509
1,2,4,2,15,2,0.3153,0.7000
1,2,4,4,6,4,0.3563,0.7397
1,2,4,4,7,2,0.3520,0.7495
1,2,5,1,5,3,0.3607,0.7307
1,2,5,1,5,4,0.3504,0.7473
1,2,5,1,7,10,0.3544,0.7309
1,2,5,2,3,10,0.3408,0.7125
1,2,5,2,4,2,0.3511,0.7400
1,2,5,2,4,4,0.3682,0.7336
1,2,5,3,5,4,0.3678,0.7739
1,2,5,3,10,1,0.3463,0.7880
1,2,5,4,6,5,0.3563,0.7833
1,2,5,5,4,2,0.3574,0.7553
1,2,5,5,6,5,0.3616,0.7848
1,2,5,5,10,1,0.3517,0.7882
1,2,6,1,4,10,0.3541,0.7253
1,2,6,1,5,5,0.3649,0.7799
1,2,6,1,6,5,0.3656,0.8023
1,2,6,2,5,1,0.3724,0.7830
1,2,6,3,5,3,0.3812,0.7978
1,2,6,3,7,3,0.3701,0.8294
1,2,6,3,7,10,0.3759,0.8198
1,2,6,4,5,10,0.3543,0.7981
1,2,6,4,6,2,0.3667,0.8231
1,2,6,4,7,1,0.3657,0.8419
1,2,6,5,5,3,0.3718,0.8364
1,2,6,5,7,1,0.3721,0.8247
1,2,6,5,15,4,0.3533,0.8422
1,2,10,1,4,5,0.4117,0.9063
1,2,10,1,10,5,0.4123,0.9489
1,2,10,2,3,2,0.4202,0.8904
1,2,10,2,7,5,0.4144,0.9743
1,2,10,3,15,10,0.3860,0.9254
1,2,10,4,3,4,0.4374,0.9173
1,2,10,4,6,1,0.4195,0.9801
1,2,10,5,5,2,0.4372,0.9762
1,2,10,6,3,4,0.4300,0.9565
1,2,10,8,4,4,0.4262,0.9528
1,2,10,8,10,1,0.4162,1.0091
1,2,15,1,4,1,0.4428,0.9025
1,2,15,2,3,3,0.4452,0.9497
1,2,15,2,7,1,0.4401,1.0070
1,2,15,3,6,5,0.4650,1.0421
1,2,15,3,10,1,0.4487,1.0453
1,2,15,5,6,2,0.4599,1.0581
1,2,15,5,15,1,0.4054,1.0081
1,2,15,8,3,10,0.4469,0.9626
1,2,15,8,15,4,0.4199,1.0548
1,2,20,1,4,2,0.3973,0.8670
1,2,20,1,4,10,0.3933,0.8632
1,2,20,1,10,10,0.3963,0.9126
1,2,20,2,5,3,0.4308,0.9191
1,2,20,2,7,4,0.4375,0.9575
1,2,20,2,15,2,0.3626,0.9137
1,2,20,2,15,5,0.3885,0.9423
1,2,20,4,5,1,0.4258,0.9473
1,2,20,5,5,4,0.4274,0.9960
1,2,20,5,10,3,0.4306,1.0518
1,2,20,5,10,5,0.4386,1.0382
1,2,20,5,15,5,0.3989,0.9779
1,2,20,6,7,10,0.4406,0.9937
1,2,20,8,3,4,0.4207,0.9239
1,2,20,8,6,5,0.4359,1.0133
1,2,20,8,7,5,0.4420,1.0219
1,2,20,8,15,10,0.3911,0.9343
1,3,3,1,10,3,0.3282,0.6868
1,3,3,1,15,2,0.3004,0.6424
1,3,3,2,3,2,0.3190,0.6269
1,3,3,2,7,1,0.3161,0.6887
1,3,3,3,3,5,0.3202,0.6529
1,3,3,3,6,4,0.3286,0.7048
1,3,3,3,15,3,0.3000,0.6725
1,3,4,1,5,4,0.3521,0.7009
1,3,4,1,10,4,0.3334,0.7377
1,3,4,1,10,5,0.3299,0.7391
1,3,4,1,15,1,0.3078,0.6744
1,3,4,2,10,10,0.3310,0.7286
1,3,4,3,7,3,0.3375,0.7394
1,3,4,4,4,4,0.3555,0.7149
1,3,4,4,15,1,0.3065,0.7382
1,3,5,2,4,1,0.3607,0.7440
1,3,5,4,3,1,0.3614,0.7370
1,3,5,4,4,5,0.3630,0.7631
1,3,5,4,10,5,0.3554,0.8321
1,3,5,4,15,10,0.3397,0.7716
1,3,5,5,4,10,0.3537,0.7480
1,3,5,5,7,4,0.3658,0.8032
1,3,6,1,7,2,0.3725,0.7956
1,3,6,1,15,2,0.3300,0.7728
1,3,6,2,3,3,0.3664,0.7541
1,3,6,2,7,5,0.3820,0.8358
1,3,6,3,3,4,0.3720,0.7807
1,3,6,3,7,10,0.3577,0.8232
1,3,6,3,10,10,0.3643,0.8319
1,3,6,4,3,3,0.3847,0.7834
1,3,6,4,3,4,0.3758,0.8029
1,3,6,4,4,4,0.3819,0.8041
1,3,6,4,6,1,0.3842,0.8300
1,3,6,6,6,1,0.3817,0.8440
1,3,6,6,15,1,0.3434,0.8117
1,3,10,1,10,3,0.4222,0.9602
1,3,10,2,5,1,0.4291,0.9210
1,3,10,4,4,10,0.4451,0.9413
1,3,10,4,6,10,0.4282,0.9788
1,3,10,5,3,2,0.4320,0.9512
1,3,10,5,3,3,0.4407,0.9452
1,3,10,5,10,2,0.4373,1.0508
1,3,10,6,6,4,0.4561,1.0161
1,3,10,6,10,4,0.4404,1.0774
1,3,10,8,10,3,0.4334,1.0381
1,3,15,1,4,10,0.4440,0.9181
1,3,15,1,15,1,0.4034,0.9416
1,3,15,2,3,1,0.4522,0.9157
1,3,15,2,7,5,0.4734,1.0546
1,3,15,2,10,10,0.4347,1.0053
1,3,15,3,6,3,0.4819,1.0554
1,3,15,4,7,1,0.4893,1.0498
1,3,15,4,7,4,0.4700,1.0912
1,3,15,4,15,10,0.4147,1.0185
1,3,15,5,15,2,0.4201,1.0507
1,3,15,6,3,1,0.4584,0.9752
1,3,15,6,15,10,0.4135,1.0302
1,3,15,8,4,4,0.4870,1.0304
1,3,15,8,6,4,0.4849,1.0848
1,3,15,8,6,5,0.4802,1.1085
1,3,20,1,15,3,0.3780,0.9278
1,3,20,3,7,3,0.4346,1.0045
1,3,20,3,7,10,0.4357,0.9587
1,3,20,3,15,2,0.3807,0.9727
1,3,20,4,4,1,0.4321,0.9358
1,3,20,5,5,2,0.4510,0.9751
1,3,20,5,7,1,0.4522,1.0004
1,3,20,6,10,1,0.4394,1.0368
1,5,3,1,5,10,0.3182,0.6345
1,5,3,1,7,1,0.3430,0.6812
1,5,3,1,10,10,0.3260,0.6848
1,5,3,1,15,2,0.3090,0.6675
1,5,3,2,4,5,0.3503,0.6626
1,5,3,2,4,10,0.3281,0.6487
1,5,3,2,5,1,0.3329,0.6517
1,5,3,2,15,3,0.3020,0.6840
1,5,4,1,4,3,0.3369,0.7034
1,5,4,2,3,5,0.3621,0.6804
1,5,4,2,6,1,0.3440,0.7068
1,5,4,2,6,5,0.3620,0.7254
1,5,4,2,15,1,0.3158,0.7158
1,5,4,2,15,10,0.3151,0.6908
1,5,4,3,6,5,0.3657,0.7621
1,5,4,3,15,1,0.3234,0.7146
1,5,4,4,5,5,0.3636,0.7342
1,5,4,4,6,5,0.3554,0.7583
1,5,4,4,7,3,0.3678,0.7601
1,5,5,1,7,1,0.3600,0.7625
1,5,5,1,15,5,0.3446,0.7434
1,5,5,1,15,10,0.3223,0.7144
1,5,5,3,5,3,0.3813,0.7763
1,5,5,3,5,10,0.3688,0.7520
1,5,5,3,6,10,0.3755,0.7821
1,5,5,4,3,2,0.3756,0.7495
1,5,5,4,6,5,0.3791,0.8184
1,5,5,5,5,4,0.3820,0.8066
1,5,5,5,10,5,0.3757,0.8534
1,5,5,5,15,1,0.3445,0.7841
1,5,6,1,3,4,0.3821,0.7575
1,5,6,1,15,1,0.3465,0.7736
1,5,6,2,15,1,0.3583,0.7789
1,5,6,3,3,1,0.3779,0.7701
1,5,6,5,6,1,0.3820,0.8307
1,5,6,6,3,1,0.3814,0.8075
1,5,6,6,15,1,0.3590,0.8435
