u,e,k,min,threshold,value,Topic Recall,Class Entropy,Cluster Entropy,Total Entropy,Mean_Newsworthiness,NumberOfEvents
1,2,3,1,3,1,0.5389,0.9940,1.0617,1.0279,50.70,1222
1,2,3,1,5,10,0.5119,1.1792,0.9148,1.0470,50.38,1207
1,2,3,2,3,3,0.5675,1.0266,0.9095,0.9681,55.19,1242
1,2,3,2,3,4,0.5589,1.1256,0.8841,1.0049,52.22,1243
1,2,3,3,7,5,0.5760,1.0005,0.9851,0.9928,54.32,1262
1,2,3,3,10,4,0.5535,1.1000,0.9396,1.0198,51.22,1243
1,2,4,1,5,5,0.5625,0.9226,1.0697,0.9961,52.89,1251
1,2,4,1,7,4,0.5693,0.9510,1.0669,1.0090,56.17,1252
1,2,4,2,3,2,0.5554,1.0077,1.0204,1.0141,52.60,1251
1,2,4,2,10,2,0.5530,0.9359,1.0439,0.9899,53.74,1242
1,2,4,2,10,3,0.5429,1.0460,1.0353,1.0406,53.18,1245
1,2,4,2,15,2,0.5061,1.1423,0.9861,1.0642,50.81,1170
1,2,4,4,6,4,0.6008,1.0097,0.8607,0.9352,58.59,1283
1,2,4,4,7,2,0.5914,0.8314,1.0953,0.9634,54.44,1277
1,2,5,1,5,3,0.5838,0.7992,1.1225,0.9608,55.56,1258
1,2,5,1,5,4,0.5652,0.8752,1.1424,1.0088,56.03,1260
1,2,5,1,7,10,0.5557,0.9904,1.0117,1.0011,52.47,1223
1,2,5,2,3,10,0.5412,1.1871,0.9048,1.0460,53.19,1225
1,2,5,2,4,2,0.5761,0.9360,1.0468,0.9914,53.74,1264
1,2,5,2,4,4,0.5943,0.9290,0.9551,0.9420,54.69,1269
1,2,5,3,5,4,0.5998,1.0609,0.8478,0.9543,58.16,1283
1,2,5,3,10,1,0.5646,1.1919,0.7999,0.9959,53.88,1252
1,2,5,4,6,5,0.5811,0.9663,0.9449,0.9556,53.05,1290
1,2,5,5,4,2,0.5868,0.8727,1.0361,0.9544,58.19,1282
1,2,5,5,6,5,0.5909,0.9587,0.9079,0.9333,55.49,1292
1,2,5,5,10,1,0.5641,1.1060,0.8294,0.9677,52.76,1260
1,2,6,1,4,10,0.5419,0.8616,1.1459,1.0038,52.68,1222
1,2,6,1,5,5,0.5686,0.8448,1.1342,0.9895,54.94,1261
1,2,6,1,6,5,0.5745,0.8387,1.1562,0.9975,57.06,1262
1,2,6,2,5,1,0.5800,1.0082,0.9486,0.9784,56.32,1266
1,2,6,3,5,3,0.5990,0.8445,1.0133,0.9289,54.13,1285
1,2,6,3,7,3,0.5809,0.7869,1.1449,0.9659,54.95,1285
1,2,6,3,7,10,0.5689,0.9056,1.1125,1.0091,53.84,1246
1,2,6,4,5,10,0.5439,1.0219,1.0333,1.0276,55.32,1252
1,2,6,4,6,2,0.5784,0.8970,1.0385,0.9678,56.76,1289
1,2,6,4,7,1,0.5793,0.9329,1.0554,0.9942,54.40,1282
1,2,6,5,5,3,0.5835,1.0221,0.9457,0.9839,56.93,1293
1,2,6,5,7,1,0.5886,0.9255,0.9555,0.9405,54.59,1284
1,2,6,5,15,4,0.5285,1.1445,0.9772,1.0608,49.97,1193
1,2,10,1,4,5,0.5353,0.9882,1.1146,1.0514,51.05,1221
1,2,10,1,10,5,0.5321,1.0426,0.9851,1.0138,50.54,1207
